dataset_question_id,question_id,concept_name
1,11172,10.1 Angles in Intersecting and Parallel Lines
2,11612,13.1 Significant Figures
3,11610,13.1 Significant Figures
4,11592,13.1 Significant Figures
5,11624,13.2 Approximation and Errors in Measurement
6,11616,13.1 Significant Figures
7,11611,13.1 Significant Figures
8,11608,13.1 Significant Figures
9,11609,13.1 Significant Figures
10,11618,13.1 Significant Figures
11,11598,13.1 Significant Figures
12,11625,13.2 Approximation and Errors in Measurement
13,11593,13.1 Significant Figures
14,11594,13.1 Significant Figures
15,11597,13.1 Significant Figures
16,11596,13.1 Significant Figures
17,11591,13.1 Significant Figures
18,11613,13.1 Significant Figures
19,11614,13.1 Significant Figures
20,11615,13.1 Significant Figures
21,11617,13.1 Significant Figures
22,11600,13.1 Significant Figures
23,11619,13.1 Significant Figures
24,11604,13.1 Significant Figures
25,11599,13.1 Significant Figures
26,11602,13.1 Significant Figures
27,11606,13.1 Significant Figures
28,11620,13.1 Significant Figures
29,11603,13.1 Significant Figures
30,11605,13.1 Significant Figures
31,11622,13.1 Significant Figures
32,11601,13.1 Significant Figures
33,11621,13.1 Significant Figures
34,11650,13.2 Approximation and Errors in Measurement
35,11644,13.2 Approximation and Errors in Measurement
36,11640,13.2 Approximation and Errors in Measurement
37,11646,13.2 Approximation and Errors in Measurement
38,15506,19.3 Misuses of Statistical Diagrams
39,15509,19.3 Misuses of Statistical Diagrams
40,11641,13.2 Approximation and Errors in Measurement
41,11642,13.2 Approximation and Errors in Measurement
42,11645,13.2 Approximation and Errors in Measurement
43,15517,19.3 Misuses of Statistical Diagrams
44,11647,13.2 Approximation and Errors in Measurement
45,15499,19.3 Misuses of Statistical Diagrams
46,11648,13.2 Approximation and Errors in Measurement
47,11649,13.2 Approximation and Errors in Measurement
48,11652,13.2 Approximation and Errors in Measurement
49,11653,13.2 Approximation and Errors in Measurement
50,11654,13.2 Approximation and Errors in Measurement
51,15508,19.3 Misuses of Statistical Diagrams
52,11655,13.2 Approximation and Errors in Measurement
53,11657,13.2 Approximation and Errors in Measurement
54,11658,13.2 Approximation and Errors in Measurement
55,12060,14.1 Index Notation
56,12064,14.1 Index Notation
57,12067,14.1 Index Notation
58,12071,14.1 Index Notation
59,12072,14.1 Index Notation
60,13920,14.2 Laws of Indices
61,13921,14.2 Laws of Indices
62,13922,14.2 Laws of Indices
63,13923,14.2 Laws of Indices
64,13924,14.2 Laws of Indices
65,13925,14.2 Laws of Indices
66,13926,14.2 Laws of Indices
67,13927,14.2 Laws of Indices
68,14424,14.2 Laws of Indices
69,14426,14.2 Laws of Indices
70,14428,14.2 Laws of Indices
71,14430,14.2 Laws of Indices
72,14431,14.2 Laws of Indices
73,14433,14.2 Laws of Indices
74,14434,14.2 Laws of Indices
75,14469,14.3 Polynomials
76,14470,14.3 Polynomials
77,14471,14.3 Polynomials
78,15498,19.3 Misuses of Statistical Diagrams
79,14472,14.3 Polynomials
